Region,Year,Category,Value,Criteria
Africa,2023,Male,40.9,"Percentage of individuals using the Internet, by gender"
Americas,2023,Male,84.1,"Percentage of individuals using the Internet, by gender"
Arab States,2023,Male,73.8,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2023,Male,65.6,"Percentage of individuals using the Internet, by gender"
CIS,2023,Male,90.6,"Percentage of individuals using the Internet, by gender"
Europe,2023,Male,91.1,"Percentage of individuals using the Internet, by gender"
World,2024,Male,69.5,"Percentage of individuals using the Internet, by gender"
Low-income,2024,Male,31.9,"Percentage of individuals using the Internet, by gender"
Lower-middle-income,2024,Male,60.3,"Percentage of individuals using the Internet, by gender"
Upper-middle-income,2024,Male,81.8,"Percentage of individuals using the Internet, by gender"
High-income,2024,Male,93.9,"Percentage of individuals using the Internet, by gender"
Least Developed Countries (LDCs),2024,Male,41.1,"Percentage of individuals using the Internet, by gender"
Land Locked Developing Countries (LLDCs),2024,Male,43.2,"Percentage of individuals using the Internet, by gender"
Small Island Developing States (SIDS),2024,Male,64.3,"Percentage of individuals using the Internet, by gender"
Africa,2024,Male,43.4,"Percentage of individuals using the Internet, by gender"
Americas,2024,Male,85.5,"Percentage of individuals using the Internet, by gender"
Arab States,2024,Male,75.1,"Percentage of individuals using the Internet, by gender"
Asia-Pacific,2024,Male,67.5,"Percentage of individuals using the Internet, by gender"
CIS,2024,Male,92.6,"Percentage of individuals using the Internet, by gender"
Europe,2024,Male,92.3,"Percentage of individuals using the Internet, by gender"
Africa,2019,Total,25.1,"Percentage of individuals owning a mobile phone*, by gender"
Americas,2019,Total,76.0,"Percentage of individuals owning a mobile phone*, by gender"
Arab States,2019,Total,53.8,"Percentage of individuals owning a mobile phone*, by gender"
Asia-Pacific,2019,Total,48.3,"Percentage of individuals owning a mobile phone*, by gender"
CIS,2019,Total,76.2,"Percentage of individuals owning a mobile phone*, by gender"
Europe,2019,Total,81.8,"Percentage of individuals owning a mobile phone*, by gender"
World,2019,Total,76.4,"Percentage of individuals owning a mobile phone*, by gender"
Low-income,2019,Total,49.7,"Percentage of individuals owning a mobile phone*, by gender"
Lower-middle-income,2019,Total,67.6,"Percentage of individuals owning a mobile phone*, by gender"
Upper-middle-income,2019,Total,81.0,"Percentage of individuals owning a mobile phone*, by gender"
High-income,2019,Total,95.0,"Percentage of individuals owning a mobile phone*, by gender"
Least Developed Countries (LDCs),2019,Total,56.8,"Percentage of individuals owning a mobile phone*, by gender"
Land Locked Developing Countries (LLDCs),2019,Total,58.7,"Percentage of individuals owning a mobile phone*, by gender"
Small Island Developing States (SIDS),2019,Total,71.3,"Percentage of individuals owning a mobile phone*, by gender"
Africa,2019,Total,60.8,"Percentage of individuals owning a mobile phone*, by gender"
Americas,2019,Total,87.0,"Percentage of individuals owning a mobile phone*, by gender"
Arab States,2019,Total,82.1,"Percentage of individuals owning a mobile phone*, by gender"
Asia-Pacific,2019,Total,73.0,"Percentage of individuals owning a mobile phone*, by gender"
CIS,2019,Total,91.7,"Percentage of individuals owning a mobile phone*, by gender"
Europe,2019,Total,93.4,"Percentage of individuals owning a mobile phone*, by gender"
Africa,2020,Total,28.0,"Percentage of individuals owning a mobile phone*, by gender"
Americas,2020,Total,80.0,"Percentage of individuals owning a mobile phone*, by gender"
Arab States,2020,Total,60.4,"Percentage of individuals owning a mobile phone*, by gender"
Asia-Pacific,2020,Total,55.8,"Percentage of individuals owning a mobile phone*, by gender"
CIS,2020,Total,79.5,"Percentage of individuals owning a mobile phone*, by gender"
Europe,2020,Total,84.9,"Percentage of individuals owning a mobile phone*, by gender"
World,2020,Total,77.7,"Percentage of individuals owning a mobile phone*, by gender"
Low-income,2020,Total,53.0,"Percentage of individuals owning a mobile phone*, by gender"
Lower-middle-income,2020,Total,69.1,"Percentage of individuals owning a mobile phone*, by gender"
Upper-middle-income,2020,Total,82.4,"Percentage of individuals owning a mobile phone*, by gender"
High-income,2020,Total,95.4,"Percentage of individuals owning a mobile phone*, by gender"
Least Developed Countries (LDCs),2020,Total,59.6,"Percentage of individuals owning a mobile phone*, by gender"
Land Locked Developing Countries (LLDCs),2020,Total,61.5,"Percentage of individuals owning a mobile phone*, by gender"
Small Island Developing States (SIDS),2020,Total,73.8,"Percentage of individuals owning a mobile phone*, by gender"
Africa,2020,Total,63.0,"Percentage of individuals owning a mobile phone*, by gender"
Americas,2020,Total,87.5,"Percentage of individuals owning a mobile phone*, by gender"
Arab States,2020,Total,82.7,"Percentage of individuals owning a mobile phone*, by gender"
Asia-Pacific,2020,Total,74.6,"Percentage of individuals owning a mobile phone*, by gender"
CIS,2020,Total,93.1,"Percentage of individuals owning a mobile phone*, by gender"
Europe,2020,Total,94.0,"Percentage of individuals owning a mobile phone*, by gender"
Africa,2021,Total,30.8,"Percentage of individuals owning a mobile phone*, by gender"
Americas,2021,Total,81.9,"Percentage of individuals owning a mobile phone*, by gender"
Arab States,2021,Total,64.7,"Percentage of individuals owning a mobile phone*, by gender"
Asia-Pacific,2021,Total,59.3,"Percentage of individuals owning a mobile phone*, by gender"
CIS,2021,Total,84.2,"Percentage of individuals owning a mobile phone*, by gender"
Europe,2021,Total,87.3,"Percentage of individuals owning a mobile phone*, by gender"
World,2021,Total,78.6,"Percentage of individuals owning a mobile phone*, by gender"
Low-income,2021,Total,54.2,"Percentage of individuals owning a mobile phone*, by gender"
Lower-middle-income,2021,Total,70.5,"Percentage of individuals owning a mobile phone*, by gender"
Upper-middle-income,2021,Total,83.2,"Percentage of individuals owning a mobile phone*, by gender"
High-income,2021,Total,95.7,"Percentage of individuals owning a mobile phone*, by gender"
Least Developed Countries (LDCs),2021,Total,60.9,"Percentage of individuals owning a mobile phone*, by gender"
Land Locked Developing Countries (LLDCs),2021,Total,62.7,"Percentage of individuals owning a mobile phone*, by gender"
Small Island Developing States (SIDS),2021,Total,74.0,"Percentage of individuals owning a mobile phone*, by gender"
Africa,2021,Total,64.5,"Percentage of individuals owning a mobile phone*, by gender"
Americas,2021,Total,88.2,"Percentage of individuals owning a mobile phone*, by gender"
Arab States,2021,Total,82.8,"Percentage of individuals owning a mobile phone*, by gender"
Asia-Pacific,2021,Total,75.6,"Percentage of individuals owning a mobile phone*, by gender"
CIS,2021,Total,93.6,"Percentage of individuals owning a mobile phone*, by gender"
Europe,2021,Total,94.7,"Percentage of individuals owning a mobile phone*, by gender"
Africa,2022,Total,32.9,"Percentage of individuals owning a mobile phone*, by gender"
Americas,2022,Total,82.9,"Percentage of individuals owning a mobile phone*, by gender"
Arab States,2022,Total,67.4,"Percentage of individuals owning a mobile phone*, by gender"
Asia-Pacific,2022,Total,61.6,"Percentage of individuals owning a mobile phone*, by gender"
CIS,2022,Total,87.0,"Percentage of individuals owning a mobile phone*, by gender"
Europe,2022,Total,88.6,"Percentage of individuals owning a mobile phone*, by gender"
World,2022,Total,79.7,"Percentage of individuals owning a mobile phone*, by gender"
Low-income,2022,Total,56.2,"Percentage of individuals owning a mobile phone*, by gender"
Lower-middle-income,2022,Total,72.0,"Percentage of individuals owning a mobile phone*, by gender"
Upper-middle-income,2022,Total,84.2,"Percentage of individuals owning a mobile phone*, by gender"
High-income,2022,Total,96.1,"Percentage of individuals owning a mobile phone*, by gender"
Least Developed Countries (LDCs),2022,Total,62.8,"Percentage of individuals owning a mobile phone*, by gender"
Land Locked Developing Countries (LLDCs),2022,Total,64.6,"Percentage of individuals owning a mobile phone*, by gender"
Small Island Developing States (SIDS),2022,Total,75.0,"Percentage of individuals owning a mobile phone*, by gender"
Africa,2022,Total,66.2,"Percentage of individuals owning a mobile phone*, by gender"
Americas,2022,Total,88.8,"Percentage of individuals owning a mobile phone*, by gender"
Arab States,2022,Total,83.1,"Percentage of individuals owning a mobile phone*, by gender"
Asia-Pacific,2022,Total,76.9,"Percentage of individuals owning a mobile phone*, by gender"
CIS,2022,Total,94.4,"Percentage of individuals owning a mobile phone*, by gender"
Europe,2022,Total,95.3,"Percentage of individuals owning a mobile phone*, by gender"
Africa,2023,Total,35.0,"Percentage of individuals owning a mobile phone*, by gender"
Americas,2023,Total,84.7,"Percentage of individuals owning a mobile phone*, by gender"
Arab States,2023,Total,68.6,"Percentage of individuals owning a mobile phone*, by gender"
Asia-Pacific,2023,Total,63.4,"Percentage of individuals owning a mobile phone*, by gender"
CIS,2023,Total,89.4,"Percentage of individuals owning a mobile phone*, by gender"
Europe,2023,Total,89.9,"Percentage of individuals owning a mobile phone*, by gender"
Africa,2024,Total,37.5,"Percentage of individuals owning a mobile phone*, by gender"
Americas,2024,Total,86.5,"Percentage of individuals owning a mobile phone*, by gender"
Arab States,2024,Total,69.6,"Percentage of individuals owning a mobile phone*, by gender"
Asia-Pacific,2024,Total,66.1,"Percentage of individuals owning a mobile phone*, by gender"
CIS,2024,Total,91.5,"Percentage of individuals owning a mobile phone*, by gender"
Europe,2024,Total,91.2,"Percentage of individuals owning a mobile phone*, by gender"
World,2024,Total,72.8,"Percentage of individuals owning a mobile phone*, by gender"
Low-income,2024,Total,40.6,"Percentage of individuals owning a mobile phone*, by gender"
Lower-middle-income,2024,Total,60.9,"Percentage of individuals owning a mobile phone*, by gender"
Upper-middle-income,2024,Total,79.6,"Percentage of individuals owning a mobile phone*, by gender"
High-income,2024,Total,94.8,"Percentage of individuals owning a mobile phone*, by gender"
Least Developed Countries (LDCs),2024,Total,48.3,"Percentage of individuals owning a mobile phone*, by gender"
Land Locked Developing Countries (LLDCs),2024,Total,50.8,"Percentage of individuals owning a mobile phone*, by gender"
Small Island Developing States (SIDS),2024,Total,70.2,"Percentage of individuals owning a mobile phone*, by gender"
Africa,2024,Total,53.5,"Percentage of individuals owning a mobile phone*, by gender"
Americas,2024,Total,86.7,"Percentage of individuals owning a mobile phone*, by gender"
